FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14
СФО;Красноярский край;3;2059;1180;71;1740;1883;1824;108;2;2;175;47;165;28;239
СФО;Красноярский край;4;1255;896;52;1024;1091;1080;36;0;0;0;0;0;0;0
СФО;Красноярский край;5;314;125;37;215;221;222;2;0;0;0;0;0;0;0
СФО;Новосибирская область;3;2015;640;57;1268;1678;1023;106;3;2;249;58;312;109;320
СФО;Новосибирская область;4;1259;445;24;688;945;668;52;0;0;0;0;0;0;0
СФО;Новосибирская область;5;408;167;12;234;312;191;25;0;0;0;0;0;0;0
СФО;Омская область;3;905;332;26;518;771;202;61;2;1;116;18;174;60;102
СФО;Омская область;4;600;246;26;271;448;114;37;0;0;0;0;0;0;0
СФО;Омская область;5;263;63;13;128;241;71;31;0;0;0;0;0;0;0
СФО;Республика Алтай;3;71;13;1;0;67;7;12;0;0;12;3;15;1;13
СФО;Республика Алтай;4;36;13;0;0;33;7;11;0;0;0;0;0;0;0
СФО;Республика Алтай;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
СФО;Республика Тыва;3;91;15;0;91;91;0;11;0;0;3;3;51;30;4
СФО;Республика Тыва;4;31;11;0;31;31;0;11;0;0;0;0;0;0;0
СФО;Республика Тыва;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
СФО;Республика Хакасия;3;286;95;2;145;210;134;16;4;4;41;5;49;28;24
СФО;Республика Хакасия;4;174;63;0;60;119;21;10;0;0;0;0;0;0;0
СФО;Республика Хакасия;5;74;26;0;22;55;16;0;0;0;0;0;0;0;0
СФО;Томская область;3;223;43;3;206;203;206;4;0;0;15;5;35;7;48
СФО;Томская область;4;66;23;1;64;66;66;0;0;0;0;0;0;0;0
СФО;Томская область;5;29;14;0;23;11;11;0;0;0;0;0;0;0;0
УФО;Курганская область;3;393;156;1;272;343;234;10;2;1;27;6;75;19;39
УФО;Курганская область;4;311;127;1;212;251;194;6;0;0;0;0;0;0;0
УФО;Курганская область;5;150;52;1;82;97;72;1;0;0;0;0;0;0;0
УФО;Свердловская область;3;1273;495;78;1097;984;877;34;3;3;112;55;160;89;211
УФО;Свердловская область;4;1002;390;63;819;789;743;16;0;0;0;0;0;0;0
УФО;Свердловская область;5;170;76;0;100;155;95;1;0;0;0;0;0;0;0
