"FO_name";"Subj_Name";"1";"2";"3";"4";"5";"6";"7";"8";"9";"10";"11";"12";"13";"14";"15"
"ЦФО";"Владимирская область";,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;1,000
"ЦФО";"Воронежская область";1,000;22,000;12,000;5,000;,000;,000;,000;,000;5,000;,000;,000;,000;,000;,000;19,000
"ЦФО";"Ивановская область";,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;1,000;,000
"ЦФО";"Калужская область";1,000;51,000;18,000;2,000;,000;,000;,000;2,000;3,000;,000;,000;,000;,000;,000;3,000
"ЦФО";"Костромская область";,000;6,000;6,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;2,000
"ЦФО";"Курская область";3,000;16,000;12,000;10,000;,000;,000;,000;1,000;1,000;,000;,000;,000;,000;,000;13,000
"ЦФО";"Липецкая область";,000;11,000;10,000;1,000;1,000;,000;,000;1,000;,000;,000;,000;,000;,000;1,000;8,000
"ЦФО";"Москва";21,000;193,000;168,000;24,000;5,000;6,000;,000;14,000;133,000;5,000;7,000;1,000;2,000;3,000;75,000
"ЦФО";"Московская область";5,000;96,000;69,000;8,000;,000;1,000;,000;2,000;38,000;22,000;2,000;,000;,000;1,000;14,000
"ЦФО";"Орловская область";26,000;19,000;18,000;,000;,000;,000;,000;1,000;1,000;2,000;,000;,000;,000;1,000;9,000
"ЦФО";"Рязанская область";,000;1,000;1,000;,000;,000;,000;,000;,000;1,000;1,000;,000;,000;,000;,000;1,000
"ЦФО";"Смоленская область";,000;2,000;2,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000
"ЦФО";"Тамбовская область";1,000;11,000;10,000;15,000;,000;,000;,000;1,000;,000;,000;,000;,000;,000;,000;,000
"ЦФО";"Тверская область";1,000;9,000;9,000;,000;,000;,000;,000;1,000;,000;,000;,000;,000;,000;,000;,000
"ЦФО";"Тульская область";,000;8,000;4,000;10,000;1,000;,000;,000;1,000;28,000;,000;,000;,000;,000;,000;8,000
"ЦФО";"Ярославская область";1,000;32,000;31,000;,000;,000;,000;,000;2,000;7,000;2,000;1,000;,000;,000;,000;29,000
"ЮФО";"Астраханская область";,000;6,000;5,000;,000;,000;,000;,000;,000;1,000;,000;,000;,000;,000;2,000;10,000
"ЮФО";"Волгоградская область";4,000;25,000;25,000;1,000;1,000;,000;,000;1,000;378,000;3,000;,000;,000;,000;1,000;14,000
"ЮФО";"Краснодарский край";6,000;89,000;73,000;3,000;,000;2,000;,000;1,000;12,000;10,000;,000;,000;,000;2,000;16,000
"ЮФО";"Республика Адыгея";8,000;4,000;4,000;2,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000
"ЮФО";"Республика Калмыкия";,000;13,000;11,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;2,000
"ЮФО";"Республика Крым";,000;36,000;28,000;,000;,000;,000;,000;1,000;,000;,000;,000;,000;,000;1,000;2,000
"ЮФО";"Ростовская область";1,000;52,000;52,000;3,000;,000;,000;,000;2,000;4,000;,000;,000;,000;,000;2,000;19,000
"ЮФО";"Севастополь";,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000;,000
