FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
ПФО;Кировская область;3;1399,3;1133,2;64,1;1;13,3;67,2;0;58,6;61,9;1035;1030;2006,3;0;1527;473,3
ПФО;Кировская область;4;31,6;1,6;20,7;5;0,5;0,8;0;0,1;2,9;;;;;;
ПФО;Кировская область;5;123142,6;33962,5;27850,1;753,5;5506,3;24402,4;0;19760;10907,8;;;;;;
ПФО;Кировская область;6;1406,5;317;613,1;0;0;59,8;0;66,6;350;;;;;;
ПФО;Кировская область;7;3238;1049,3;981,8;370;132,3;145,7;0;18,1;540,8;;;;;;
ПФО;Кировская область;8;78302,7;18615,5;23744,4;753,5;2244,7;17357,3;0;8468,2;7119,1;;;;;;
ПФО;Кировская область;9;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Кировская область;10;44839,9;15347;4105,7;0;3261,6;7045,1;0;11291,8;3788,7;;;;;;
ПФО;Кировская область;11;879,7;16,4;408,7;0;132,3;10,1;0;0;312,2;;;;;;
ПФО;Кировская область;12;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Кировская область;13;2358,3;1032,9;573,1;370;0;135,6;0;18,1;228,6;;;;;;
ПФО;Нижегородская область;3;868,6;115,5;234;5;19,5;173;20,5;111,6;189,5;2661;627,2;3107,5;14,5;766,3;2326,7
ПФО;Нижегородская область;4;117,9;0;78,7;3,5;1;4,2;1;18,2;11,3;;;;;;
ПФО;Нижегородская область;5;359407;87473,6;100950,3;1243;8443,4;53282,9;8413,3;39549,3;60051,2;;;;;;
ПФО;Нижегородская область;6;7450,4;3583,7;1546,8;0;0;653,7;15,5;1465,3;185,4;;;;;;
ПФО;Нижегородская область;7;26019,3;0;16657,2;296,6;295,8;3477,2;114,7;2395,3;2782,5;;;;;;
ПФО;Нижегородская область;8;213835;53083,6;68471,5;1100,6;3658,1;33181,9;2436,6;21794,2;30108,5;;;;;;
ПФО;Нижегородская область;9;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Нижегородская область;10;145572;34390;32478,8;142,4;4785,3;20101;5976,7;17755,1;29942,7;;;;;;
ПФО;Нижегородская область;11;10595,4;0;7852,3;296,6;84,3;190,6;114,7;697,2;1359,7;;;;;;
ПФО;Нижегородская область;12;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Нижегородская область;13;15423,9;0;8804,9;0;211,5;3286,6;0;1698,1;1422,8;;;;;;
ПФО;Оренбургская область;3;336,3;72,7;77,2;1;3;49,5;0,2;48,7;84;806;345,9;3573,7;0;1670,7;1903
ПФО;Оренбургская область;4;178,6;5,9;151,3;0;0,3;3,4;0;13;4,7;;;;;;
ПФО;Оренбургская область;5;108235,3;40805,5;19298,3;240;630,6;11031,6;29;15324,2;20876,1;;;;;;
ПФО;Оренбургская область;6;1012;480,1;208;0;0;0;0;0;323,9;;;;;;
ПФО;Оренбургская область;7;12677,6;655,1;8714,6;0;55,3;272;0;979,9;2000,7;;;;;;
ПФО;Оренбургская область;8;3560,8;771,4;505;0;0;655,6;0;210;1418,8;;;;;;
ПФО;Оренбургская область;9;3574;945;1460;0;0;0;0;800;369;;;;;;
ПФО;Оренбургская область;10;101100,5;39089,1;17333,3;240;630,6;10376;29;14314,2;19088,3;;;;;;
ПФО;Оренбургская область;11;328,2;0;0;0;0;0;0;0;328,2;;;;;;
ПФО;Оренбургская область;12;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Оренбургская область;13;12349,4;655,1;8714,6;0;55,3;272;0;979,9;1672,5;;;;;;
ПФО;Пензенская область;3;624,5;99,8;253,5;1;14;33,5;31;57;134,7;1280;331,3;4247,2;96;489,4;2403,6
ПФО;Пензенская область;4;67,7;4,5;36,2;0,5;1;2,5;4,5;5;13,5;;;;;;
ПФО;Пензенская область;5;180783;43840,3;69731;608,7;2451,3;12848,1;7052,7;16249,5;28001,4;;;;;;
ПФО;Пензенская область;6;2372,9;1191,6;886,8;111,6;0;50,7;0;0;132,2;;;;;;
ПФО;Пензенская область;7;9313,2;1441,9;4539,1;109;59,4;561;626,8;841,1;1134,9;;;;;;
ПФО;Пензенская область;8;106551,3;23358;45808,4;336,1;1371,6;3186;0;11746,8;20744,4;;;;;;
ПФО;Пензенская область;9;4465,7;688,7;54,7;0;286,6;1774,6;1661,1;0;0;;;;;;
ПФО;Пензенская область;10;69766;19793,6;23867,9;272,6;793,1;7887,5;5391,6;4502,7;7257;;;;;;
ПФО;Пензенская область;11;5057,4;0;3573,5;46,9;42,9;62;204,5;418,4;709,2;;;;;;
ПФО;Пензенская область;12;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Пензенская область;13;4255,8;1441,9;965,6;62,1;16,5;499;422,3;422,7;425,7;;;;;;
ПФО;Пермский край;3;637,6;125,2;169,3;0;10,5;52,8;6,1;125,6;148,1;4303;794,8;6893,4;0;2089,3;4916,1
ПФО;Пермский край;4;143,5;26,6;85,9;0;3,3;4,8;1,6;7,4;13,9;;;;;;
ПФО;Пермский край;5;243785,4;88812,5;53369,3;0;3725,5;14836,7;2544,6;44684,4;35812,4;;;;;;
ПФО;Пермский край;6;2758,7;1011,5;721,6;0;6,9;10,3;0;378;630,4;;;;;;
ПФО;Пермский край;7;40109,4;16474,3;17132,3;0;418,5;1835,5;295,7;2057,1;1896;;;;;;
ПФО;Пермский край;8;50627,3;12941,1;13963,2;0;1669;1908,1;0;3446,4;16699,5;;;;;;
ПФО;Пермский край;9;230;0;0;0;0;0;0;0;230;;;;;;
ПФО;Пермский край;10;192928,1;75871,4;39406,1;0;2056,5;12928,6;2544,6;41238;18882,9;;;;;;
ПФО;Пермский край;11;3663,8;255,4;1166,7;0;144,5;178;0;509,4;1409,8;;;;;;
ПФО;Пермский край;12;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Пермский край;13;36445,6;16218,9;15965,6;0;274;1657,5;295,7;1547,7;486,2;;;;;;
ПФО;Республика Башкортостан;3;336;29;100;0;8;56;6;59;78;1231;1199,6;45514;0;601;38975
ПФО;Республика Башкортостан;4;29;0;27;0;0;0;0;2;0;;;;;;
ПФО;Республика Башкортостан;5;158716,3;26810,8;59862,9;0;3135;16246,3;2212;19019,9;31429,4;;;;;;
ПФО;Республика Башкортостан;6;15936;0;15936;0;0;0;0;0;0;;;;;;
ПФО;Республика Башкортостан;7;3219,2;0;3216,7;0;0;0;0;2,5;0;;;;;;
ПФО;Республика Башкортостан;8;49675,2;3332,1;18689,5;0;0;0;0;0;27653,6;;;;;;
ПФО;Республика Башкортостан;9;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Республика Башкортостан;10;109041,1;23478,7;41173,4;0;3135;16246,3;2212;19019,9;3775,8;;;;;;
ПФО;Республика Башкортостан;11;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Республика Башкортостан;12;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Республика Башкортостан;13;3219,2;0;3216,7;0;0;0;0;2,5;0;;;;;;
ПФО;Республика Марий Эл;3;173,4;47,3;25,6;0;12;23;2;22;41,5;319;310,3;4426,7;0;269,3;4157,4
ПФО;Республика Марий Эл;4;26,9;4;11,7;0;1;2;0;2;6,2;;;;;;
ПФО;Республика Марий Эл;5;42978,3;17102,4;5362,3;0;1443,3;5191,2;459,4;5332,9;8086,8;;;;;;
ПФО;Республика Марий Эл;6;2281,8;775,1;671,6;0;56,5;0;56,8;67,7;654,1;;;;;;
ПФО;Республика Марий Эл;7;4135,3;1180,4;1957,4;0;129,1;135,8;0;202,7;529,9;;;;;;
ПФО;Республика Марий Эл;8;21554,8;8542;3528,9;0;994,3;1101,1;327,5;2648,7;4412,3;;;;;;
ПФО;Республика Марий Эл;9;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Республика Марий Эл;10;21423,5;8560,4;1833,4;0;449;4090,1;131,9;2684,2;3674,5;;;;;;
ПФО;Республика Марий Эл;11;599,7;0;319,9;0;125,6;0;0;0;154,2;;;;;;
ПФО;Республика Марий Эл;12;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Республика Марий Эл;13;3535,6;1180,4;1637,5;0;3,5;135,8;0;202,7;375,7;;;;;;
ПФО;Республика Мордовия;3;245,3;35,2;26;0;7;33,1;5;67;72;33;28,3;774,3;0;51;723,3
ПФО;Республика Мордовия;4;22,2;2,5;13,1;0;0;1;1,3;0;4,3;;;;;;
ПФО;Республика Мордовия;5;76541,1;22475;11352,8;0;1894,6;6682,3;1543,1;15594,4;16998,9;;;;;;
ПФО;Республика Мордовия;6;7204,5;3866,6;1614;0;0;16;0;0;1707,9;;;;;;
ПФО;Республика Мордовия;7;2721,2;215,8;1549,3;0;0;89;74,7;0;792,4;;;;;;
ПФО;Республика Мордовия;8;38658,1;14387;8955,3;0;108,1;2645;0;937,7;11625;;;;;;
ПФО;Республика Мордовия;9;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Республика Мордовия;10;37883;8088;2397,5;0;1786,5;4037,3;1543,1;14656,7;5373,9;;;;;;
ПФО;Республика Мордовия;11;1375,7;0;1010,5;0;0;0;0;0;365,2;;;;;;
ПФО;Республика Мордовия;12;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Республика Мордовия;13;1345,5;215,8;538,8;0;0;89;74,7;0;427,2;;;;;;
ПФО;Республика Татарстан;3;1274,7;178,3;420,1;42;39,1;126,7;24;250,2;194,3;1103;789,6;2688,3;22;1409,2;960,1
ПФО;Республика Татарстан;4;169,7;0,7;124,4;6,6;2,9;6,3;1,3;23;4,5;;;;;;
ПФО;Республика Татарстан;5;477120;102920,3;177923,3;11285,5;15675,9;44191,8;5915,9;65862;53345,3;;;;;;
ПФО;Республика Татарстан;6;3699,1;1275,1;1343,5;0;162;383,9;0;252,4;282,2;;;;;;
ПФО;Республика Татарстан;7;35953;362,4;26583,6;1465,3;723,9;2702,6;251;3137,1;727,1;;;;;;
ПФО;Республика Татарстан;8;300463,2;62908,7;123397,9;9092,8;10118,2;20432,6;4427,3;34635,2;35450,5;;;;;;
ПФО;Республика Татарстан;9;3305,5;1301,3;941,7;4,3;0;469;0;430;159,2;;;;;;
ПФО;Республика Татарстан;10;173351,3;38710,3;53583,7;2188,4;5557,7;23290,2;1488,6;30796,8;17735,6;;;;;;
ПФО;Республика Татарстан;11;23616,4;0;18825,5;994,6;358,1;1197,1;72,5;2098,6;70;;;;;;
ПФО;Республика Татарстан;12;20,6;0;20,6;0;0;0;0;0;0;;;;;;
ПФО;Республика Татарстан;13;12316;362,4;7737,5;470,7;365,8;1505,5;178,5;1038,5;657,1;;;;;;
ПФО;Самарская область;3;2232,1;327,6;540,9;1,5;72,7;279,5;239,1;390,4;380,4;2862;2524,5;12872,9;0;954,8;12174,9
ПФО;Самарская область;4;335,2;40,3;166;0;10,3;20;35,5;20,2;42,9;;;;;;
ПФО;Самарская область;5;642498,1;171198,3;131432,3;112,6;21643;80165,1;42824;109361,6;85761,2;;;;;;
ПФО;Самарская область;6;44493,9;12058,9;11456,6;112,6;1965,9;4445,5;7831,9;3379,4;3243,1;;;;;;
ПФО;Самарская область;7;57585,9;7824,4;31222,7;0;1489,5;3858;4433,7;3347,6;5410;;;;;;
ПФО;Самарская область;8;343313,6;75357,7;60033,8;0;10376,1;45704,3;39544,5;53472,5;58824,7;;;;;;
ПФО;Самарская область;9;465;310;155;0;0;0;0;0;0;;;;;;
ПФО;Самарская область;10;298719,5;95530,6;71243,5;112,6;11266,9;34460,8;3279,5;55889,1;26936,5;;;;;;
ПФО;Самарская область;11;17334,2;446,8;6864,6;0;705,4;1158,2;4296,6;1346,3;2516,3;;;;;;
ПФО;Самарская область;12;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Самарская область;13;40251,7;7377,6;24358,1;0;784,1;2699,8;137,1;2001,3;2893,7;;;;;;
ПФО;Саратовская область;3;191,6;43;45;0;1;21,2;0;33;48,4;143;202,7;2339,2;1;174,2;1674
ПФО;Саратовская область;4;30;4;20,5;0;0;1;0;0;4,5;;;;;;
ПФО;Саратовская область;5;65532,6;24777,9;14442,8;0;336,9;5486,7;0;11424,2;9064,1;;;;;;
ПФО;Саратовская область;6;154,6;1,7;0;0;0;13,8;0;0;139,1;;;;;;
ПФО;Саратовская область;7;3079,3;1120,5;1044,2;0;0;217,6;0;0;697;;;;;;
ПФО;Саратовская область;8;6518,2;1734,6;0;0;0;870,7;0;0;3912,9;;;;;;
ПФО;Саратовская область;9;487;197,2;0;0;0;77,5;0;195,7;16,6;;;;;;
ПФО;Саратовская область;10;58527,4;22846,1;14442,8;0;336,9;4538,5;0;11228,5;5134,6;;;;;;
ПФО;Саратовская область;11;469,6;0;21;0;0;203,3;0;0;245,3;;;;;;
ПФО;Саратовская область;12;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Саратовская область;13;2609,7;1120,5;1023,2;0;0;14,3;0;0;451,7;;;;;;
ПФО;Удмуртская Республика;3;215,9;35,8;54,5;0;13,2;50;5;36,5;20,9;246;244,5;5022,5;0;578,2;4444,3
ПФО;Удмуртская Республика;4;31,8;5,7;19;0;0,5;3,5;0;0;3,1;;;;;;
ПФО;Удмуртская Республика;5;63052,7;18349,4;12262,9;0;5055,8;10352,8;1926,7;11316,7;3788,4;;;;;;
ПФО;Удмуртская Республика;6;3926,2;566,6;2009,6;0;273,3;157,7;0;835,1;83,9;;;;;;
ПФО;Удмуртская Республика;7;7133,3;1855,3;4137,4;0;94,2;431,6;0;0;614,8;;;;;;
ПФО;Удмуртская Республика;8;15162;4556,2;4482,6;0;540,8;1118,3;0;2859,1;1605;;;;;;
ПФО;Удмуртская Республика;9;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Удмуртская Республика;10;47890,7;13793,2;7780,3;0;4515;9234,5;1926,7;8457,6;2183,4;;;;;;
ПФО;Удмуртская Республика;11;1395,7;0;1093,2;0;94,2;0;0;0;208,3;;;;;;
ПФО;Удмуртская Республика;12;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Удмуртская Республика;13;5737,6;1855,3;3044,2;0;0;431,6;0;0;406,5;;;;;;
ПФО;Ульяновская область;3;211;34;35,5;0;2,5;18;11;29;81;136;95,7;856,9;0;20,2;852,7
ПФО;Ульяновская область;4;22,4;3,2;7;0;0;2;2;2;6,2;;;;;;
ПФО;Ульяновская область;5;39275,8;9769;6433,4;0;927,6;4463,4;716,7;10414,8;6550,9;;;;;;
ПФО;Ульяновская область;6;3726,2;965,5;59,7;0;0;438,4;0;222,1;2040,5;;;;;;
ПФО;Ульяновская область;7;1722,3;467,1;557,8;0;0;247,8;33,6;207;209;;;;;;
ПФО;Ульяновская область;8;7862,4;1160,7;432,4;0;0;0;0;5388,4;880,9;;;;;;
ПФО;Ульяновская область;9;2364,7;1211,8;344,5;0;0;0;0;0;808,4;;;;;;
ПФО;Ульяновская область;10;29048,7;7396,5;5656,5;0;927,6;4463,4;716,7;5026,4;4861,6;;;;;;
ПФО;Ульяновская область;11;207;0;0;0;0;0;0;207;0;;;;;;
ПФО;Ульяновская область;12;0;0;0;0;0;0;0;0;0;;;;;;
ПФО;Ульяновская область;13;1515,3;467,1;557,8;0;0;247,8;33,6;0;209;;;;;;
ПФО;Чувашская Республика — Чувашия;3;526,5;51,9;172,4;0,1;4;58,3;8;57,3;174,5;77;2480,9;225,5;0;24,3;188,2
ПФО;Чувашская Республика — Чувашия;4;33,9;2,2;28,4;0,3;0;1,6;0;0;1,4;;;;;;
ПФО;Чувашская Республика — Чувашия;5;109833,6;20553,2;43089,1;1,8;1090,9;10809,6;1352;16439,9;16497,1;;;;;;
ПФО;Чувашская Республика — Чувашия;6;40508,3;9754,3;15159,5;0;0;1470,2;0;2039,8;12084,5;;;;;;
ПФО;Чувашская Республика — Чувашия;7;6628,4;1367,2;4906,4;40,2;0;180,6;0;0;134;;;;;;
