FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69
ДВФО;Амурская область;38;470;462;0;0;0;0;0;0;0;14;0;3;0;0;0;0;1;0;0;0;1;0;23;0;75;0;0;0;0;0;0;0;118;0;0;0;0;0;24;75;29;2;0;1;0;70;25;0;22;0;14;0;0;9;0;0;0;9;0;0;0;9;0;8;0;0;0;0;8
ДВФО;Амурская область;39;3;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;40;8;8;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Амурская область;41;812;809;0;0;0;0;0;0;0;48;6;0;0;0;0;0;21;0;0;12;18;0;45;2;509;0;0;0;0;0;2;0;118;0;0;0;0;0;0;15;0;4;0;0;8;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3
ДВФО;Амурская область;42;414;373;0;0;0;0;0;0;0;2;5;3;0;0;2;0;0;0;0;0;0;0;17;0;99;0;0;0;0;0;0;0;0;0;0;0;0;0;23;63;7;0;0;1;0;106;39;0;32;0;19;0;0;16;0;0;0;45;0;0;0;0;0;0;0;0;0;0;41
ДВФО;Амурская область;43;143;143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;70;0;0;0;0;21;17;1;0;0;3;0;0;0;0;0;0;0;0;0;0;18;0;19;0;0;0;0;0
ДВФО;Амурская область;44;475;439;0;0;0;0;0;0;0;2;11;0;0;0;0;0;0;0;0;12;0;0;62;2;115;0;0;0;0;0;0;0;118;0;0;0;0;0;10;6;0;0;0;0;0;19;17;1;0;0;0;0;0;0;0;0;1;45;0;0;0;18;0;19;0;0;0;0;36
ДВФО;Еврейская автономная область;3;36;36;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;4;0;0;11;0;0;1;3;0;0;0;1;0;10;1;0;5;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
ДВФО;Еврейская автономная область;4;500;500;0;1;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;1;0;0;0;169;0;0;0;0;0;0;0;43;0;0;141;0;0;5;24;0;0;0;1;0;98;8;0;85;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0
ДВФО;Еврейская автономная область;5;270;270;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;0;0;0;0;0;0;0;43;0;0;122;0;0;5;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0
ДВФО;Еврейская автономная область;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;7;129;129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;1;0;97;8;0;84;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;8;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;9;127;127;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;1;0;97;8;0;84;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;10;13;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;11;92;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;84;0;0;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;12;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;14;15;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Еврейская автономная область;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
