FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
ПФО;Республика Башкортостан;3;290;27;77;19;1111;14;109;2;120;392;132;336;6;109;93;16;10;49;389
ПФО;Республика Башкортостан;4;166;22;51;8;927;11;69;2;98;320;108;317;2;100;86;15;0;20;119
ПФО;Республика Башкортостан;5;94;13;31;4;569;8;31;2;87;243;52;144;2;88;71;14;0;2;87
ПФО;Республика Башкортостан;6;68;5;13;6;306;7;22;2;36;126;25;87;1;18;18;0;0;11;33
ПФО;Республика Башкортостан;7;12;1;2;0;261;0;30;0;1;57;49;123;1;22;14;8;0;0;1
ПФО;Республика Башкортостан;8;94;11;24;2;453;4;33;2;40;122;39;212;1;34;31;3;0;9;63
ПФО;Республика Башкортостан;9;46;4;8;0;252;4;17;2;34;85;30;79;1;29;26;3;0;0;41
ПФО;Республика Башкортостан;10;30;0;5;1;126;4;10;2;13;59;13;24;1;8;8;0;0;8;26
ПФО;Республика Башкортостан;11;6;1;1;0;88;0;5;0;1;10;7;64;1;10;10;0;0;0;1
ПФО;Республика Башкортостан;12;1;0;0;0;3;0;0;0;0;2;0;0;1;0;0;0;0;0;1
ПФО;Республика Башкортостан;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Республика Марий Эл;3;84;25;28;0;34;0;6;0;0;7;6;15;0;107;45;48;0;17;42
ПФО;Республика Марий Эл;4;52;14;18;0;22;0;6;0;0;7;4;5;0;88;27;48;0;14;10
ПФО;Республика Марий Эл;5;29;9;7;0;14;0;6;0;0;6;1;1;0;29;10;10;0;9;7
ПФО;Республика Марий Эл;6;6;3;3;0;2;0;0;0;0;0;0;2;0;11;8;0;0;1;1
ПФО;Республика Марий Эл;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Республика Марий Эл;8;36;10;10;0;15;0;5;0;0;7;1;2;0;77;18;48;0;11;9
ПФО;Республика Марий Эл;9;20;7;5;0;12;0;5;0;0;6;1;0;0;9;2;0;0;6;7
ПФО;Республика Марий Эл;10;2;1;1;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;1
ПФО;Республика Марий Эл;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Республика Марий Эл;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Республика Марий Эл;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Республика Мордовия;3;86;16;33;1;33;2;6;0;0;4;5;15;1;83;54;29;8;8;135
ПФО;Республика Мордовия;4;50;6;16;1;22;2;6;0;0;4;4;5;1;37;36;1;8;0;40
ПФО;Республика Мордовия;5;38;2;10;1;20;2;6;0;0;4;4;3;1;33;32;1;8;0;32
ПФО;Республика Мордовия;6;5;1;3;0;12;2;3;0;0;4;2;0;1;16;16;0;8;0;10
ПФО;Республика Мордовия;7;1;0;1;0;8;1;3;0;0;0;1;3;0;11;11;0;0;0;3
ПФО;Республика Мордовия;8;29;5;10;0;13;2;4;0;0;4;2;0;1;34;33;1;8;0;28
ПФО;Республика Мордовия;9;23;1;8;0;13;2;4;0;0;4;2;0;1;33;32;1;8;0;24
ПФО;Республика Мордовия;10;4;1;3;0;11;1;3;0;0;4;2;0;1;14;14;0;8;0;4
ПФО;Республика Мордовия;11;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1
ПФО;Республика Мордовия;12;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Республика Мордовия;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Республика Татарстан;3;382;74;157;24;1264;15;140;15;123;387;146;384;54;517;441;75;43;86;831
ПФО;Республика Татарстан;4;238;45;113;22;1110;14;124;10;113;361;136;302;50;463;396;67;29;27;157
ПФО;Республика Татарстан;5;154;30;67;19;738;14;69;2;76;265;73;197;42;363;307;54;21;14;50
ПФО;Республика Татарстан;6;37;6;15;4;321;8;44;6;51;128;41;38;5;59;50;9;3;4;40
ПФО;Республика Татарстан;7;16;3;9;0;152;0;9;2;8;15;29;89;0;112;62;49;2;2;6
ПФО;Республика Татарстан;8;114;19;53;16;574;11;55;1;47;171;54;206;29;292;234;52;4;14;77
ПФО;Республика Татарстан;9;79;13;37;15;348;9;43;0;38;110;23;109;16;205;158;41;2;7;25
ПФО;Республика Татарстан;10;17;3;6;0;130;2;15;0;22;59;24;8;0;47;38;9;2;2;19
ПФО;Республика Татарстан;11;7;1;5;0;49;0;4;1;2;1;9;32;0;80;46;33;1;1;5
ПФО;Республика Татарстан;12;1;1;0;0;5;0;0;1;1;1;1;1;0;2;2;0;0;0;0
ПФО;Республика Татарстан;13;0;0;0;0;1;0;0;1;0;0;0;0;0;2;2;0;0;0;0
ПФО;Самарская область;3;535;144;185;24;794;12;66;18;75;209;63;328;23;452;203;74;10;218;604
ПФО;Самарская область;4;320;94;122;9;604;7;50;18;70;189;57;195;18;311;157;31;3;50;213
ПФО;Самарская область;5;208;54;77;8;456;7;37;6;53;137;40;168;8;242;118;17;3;3;108
ПФО;Самарская область;6;51;17;18;0;78;3;7;12;5;30;12;7;2;49;19;8;0;16;68
ПФО;Самарская область;7;2;2;0;0;51;0;2;0;4;5;1;39;0;27;25;2;0;0;1
ПФО;Самарская область;8;180;48;74;6;312;5;22;6;37;110;23;97;12;134;73;8;3;22;122
ПФО;Самарская область;9;122;30;48;5;252;5;16;1;32;97;18;79;4;101;60;7;3;2;78
ПФО;Самарская область;10;30;6;12;0;25;2;2;5;0;9;4;1;2;27;12;2;0;8;35
ПФО;Самарская область;11;2;1;0;0;47;0;2;0;4;5;1;35;0;11;9;1;0;0;0
ПФО;Самарская область;12;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Самарская область;13;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Саратовская область;3;212;32;59;7;278;5;20;2;20;39;13;158;21;176;157;12;6;11;220
ПФО;Саратовская область;4;97;19;42;4;228;5;18;1;20;35;12;120;17;112;94;11;0;4;42
ПФО;Саратовская область;5;70;14;31;4;191;4;16;1;16;31;12;94;17;96;90;5;0;1;28
ПФО;Саратовская область;6;17;2;6;0;55;5;5;0;9;16;2;11;7;9;9;0;0;1;2
ПФО;Саратовская область;7;6;0;3;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
ПФО;Саратовская область;8;39;6;16;2;68;1;8;0;4;9;7;30;9;52;44;2;0;1;19
ПФО;Саратовская область;9;32;5;14;2;44;1;7;0;4;7;7;11;7;43;42;0;0;1;15
ПФО;Саратовская область;10;6;0;2;0;19;0;1;0;4;7;0;0;7;2;2;0;0;0;0
ПФО;Саратовская область;11;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0
ПФО;Саратовская область;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Саратовская область;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ПФО;Удмуртская Республика;3;93;21;44;0;118;0;9;0;7;22;25;45;10;157;130;27;2;13;126
ПФО;Удмуртская Республика;4;50;14;27;0;113;0;9;0;7;22;22;43;10;122;94;20;2;12;14
ПФО;Удмуртская Республика;5;34;7;17;0;108;0;8;0;7;22;22;39;10;68;58;4;0;1;9
ПФО;Удмуртская Республика;6;6;1;2;0;25;0;3;0;1;7;1;10;3;4;4;0;2;0;5
ПФО;Удмуртская Республика;7;4;1;3;0;23;0;0;0;0;0;0;23;0;21;20;0;0;0;0
ПФО;Удмуртская Республика;8;34;7;17;0;78;0;7;0;4;17;12;31;7;76;61;13;1;8;3
ПФО;Удмуртская Республика;9;25;4;12;0;74;0;7;0;4;14;12;30;7;40;38;3;0;0;3
ПФО;Удмуртская Республика;10;3;0;1;0;11;0;2;0;0;4;1;1;3;0;0;0;0;0;0
ПФО;Удмуртская Республика;11;3;0;3;0;18;0;0;0;0;0;0;18;0;0;0;0;0;0;0
ПФО;Удмуртская Республика;12;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
ПФО;Удмуртская Республика;13;1;0;0;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0
ПФО;Ульяновская область;3;136;33;62;2;166;1;10;0;5;51;24;69;6;133;128;5;0;19;118
ПФО;Ульяновская область;4;96;22;38;2;138;1;10;0;5;45;23;51;3;102;97;5;0;3;37
ПФО;Ульяновская область;5;52;13;29;0;117;1;10;0;4;41;21;37;3;90;87;3;0;1;5
ПФО;Ульяновская область;6;30;7;20;0;30;1;5;0;4;14;5;1;0;63;63;0;0;0;5
