FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
ДВФО;Приморский край;6;252;6;1;3;0;82;0;0;0;0;17;27;22;16;34;22;4;8;1;0;17;11;2;0;4;20;0;41;40
ДВФО;Приморский край;7;307;14;3;9;0;82;1;2;0;1;21;23;25;9;26;18;5;2;1;0;38;29;2;0;1;36;0;58;50
ДВФО;Приморский край;8;308;18;2;11;1;94;4;9;0;2;29;21;19;10;39;30;4;2;0;2;34;20;8;0;3;25;0;35;58
ДВФО;Приморский край;9;1356;121;23;60;10;328;4;32;4;46;125;24;77;16;185;165;18;0;0;0;137;102;16;3;11;112;3;127;329
ДВФО;Приморский край;10;1409;115;22;63;11;625;9;43;4;49;193;102;161;64;292;237;32;17;2;2;252;183;32;3;1;7;0;61;36
ДВФО;Приморский край;11;97;4;0;2;0;28;0;0;0;1;0;2;16;9;27;23;2;1;0;0;24;17;5;0;0;0;0;10;3
ДВФО;Приморский край;12;138;9;4;4;0;56;0;1;0;1;3;16;18;17;20;8;3;6;1;0;31;19;9;0;0;2;0;8;6
ДВФО;Приморский край;13;230;10;2;5;0;121;1;4;2;4;37;27;28;18;37;25;6;6;1;0;32;24;5;0;1;1;0;16;6
ДВФО;Приморский край;14;203;5;0;4;1;97;1;4;0;4;26;27;27;8;33;27;6;2;0;0;36;32;1;2;0;1;0;19;8
ДВФО;Приморский край;15;182;13;0;7;2;75;4;10;0;7;27;19;6;2;34;28;4;2;0;2;48;32;4;0;0;0;0;4;6
ДВФО;Приморский край;16;559;74;16;41;8;248;3;24;2;32;100;11;66;10;141;126;11;0;0;0;81;59;8;1;0;3;0;4;7
ДВФО;Приморский край;17;1058;47;8;21;0;3;0;0;0;0;0;0;3;0;14;12;2;0;0;0;6;4;1;0;19;233;4;251;481
ДВФО;Республика Бурятия;3;780;32;4;13;1;426;6;51;3;25;243;78;15;5;46;23;16;3;3;0;194;171;2;0;0;15;9;45;10
ДВФО;Республика Бурятия;4;11;0;0;0;0;7;0;0;0;0;0;0;4;3;2;1;0;0;0;0;2;2;0;0;0;0;0;0;0
ДВФО;Республика Бурятия;5;18;0;0;0;0;5;0;0;0;0;0;0;5;0;4;2;0;0;0;0;6;6;0;0;0;1;2;0;0
ДВФО;Республика Бурятия;6;64;3;0;1;0;25;0;0;0;0;0;20;3;2;7;2;4;1;1;0;11;9;0;0;0;3;4;8;2
ДВФО;Республика Бурятия;7;102;1;0;0;0;50;0;1;0;0;22;26;1;0;9;5;4;0;0;0;30;25;1;0;0;2;1;9;0
ДВФО;Республика Бурятия;8;125;1;1;0;0;70;0;7;0;0;50;11;2;0;9;7;1;0;0;0;36;33;0;0;0;2;1;5;1
ДВФО;Республика Бурятия;9;460;27;3;12;1;269;6;43;3;25;171;21;0;0;15;6;7;2;2;0;109;96;1;0;0;7;1;23;7
