FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47
ДВФО;Магаданская область;11;77;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Магаданская область;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Магаданская область;13;77;77;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Магаданская область;14;3686;2090;25;1529;19;4;3;3;0;0;0;9;0;94;25;33;0;0;0;0;36;0;20;0;0;0;32;32;0;0;0;15;15;0;0;0;0;1122;15;1107;425;281;104;40;0;0;0
ДВФО;Приморский край;3;58488;33120;4486;11966;853;315;446;15;0;38;9;30;0;10737;1904;4827;1489;0;1912;16;587;2;4083;436;233;58;406;379;3699;1124;2575;2701;659;2028;14;0;2222;11667;2052;9615;31409;5191;24845;822;551;1;1
ДВФО;Приморский край;4;53539;29925;4377;11634;818;305;437;15;0;24;9;28;0;10447;1851;4756;1474;0;1790;11;565;0;3998;408;222;2;186;162;3372;937;2435;2300;324;1973;3;0;1900;9747;1259;8488;29784;4949;23510;811;514;1;1
ДВФО;Приморский край;5;33170;17260;3818;9391;588;223;317;10;0;8;7;23;0;8439;1274;4053;1283;0;1417;1;411;0;2108;264;197;0;67;67;1407;180;1227;1329;9;1320;0;0;1411;4721;750;3971;22165;2995;18119;720;331;0;0
ДВФО;Приморский край;6;20369;12665;559;2243;230;82;120;5;0;16;2;5;0;2008;577;703;191;0;373;10;154;0;1890;144;25;2;119;95;1965;757;1208;971;315;653;3;0;489;5026;509;4517;7619;1954;5391;91;183;1;1
ДВФО;Приморский край;7;4949;3195;109;332;35;10;9;0;0;14;0;2;0;290;53;71;15;0;122;5;22;2;85;28;11;56;220;217;327;187;140;401;335;55;11;0;322;1920;793;1127;1625;242;1335;11;37;0;0
ДВФО;Приморский край;8;3066;2157;25;190;25;9;3;0;0;13;0;0;0;160;33;58;15;0;32;5;15;2;67;24;8;49;200;197;147;15;132;106;85;16;5;0;142;1551;662;889;1043;132;903;6;2;0;0
ДВФО;Приморский край;9;1883;1038;84;142;10;1;6;0;0;1;0;2;0;130;20;13;0;0;90;0;7;0;18;4;3;7;20;20;180;172;8;295;250;39;6;0;180;369;131;238;582;110;432;5;35;0;0
ДВФО;Приморский край;10;3215;2209;70;82;6;5;0;0;0;1;0;0;0;70;0;0;8;0;60;0;2;0;2;2;1;0;113;99;325;185;140;255;199;51;5;0;228;1616;722;894;210;48;160;2;0;0;0
