FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
ДВФО;Республика Бурятия;5;12;0;11;0;0;0;9;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;;;;;;
ДВФО;Республика Бурятия;6;57;1;25;0;0;0;0;16;2;7;0;0;0;0;0;0;0;31;31;0;0;0;0;0;0;0;;;;;;
ДВФО;Республика Бурятия;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Республика Бурятия;8;2;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Республика Бурятия;9;8;0;8;0;0;0;0;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Республика Бурятия;10;27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;26;1;0;0;0;0;0;0;;;;;;
ДВФО;Республика Бурятия;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Республика Бурятия;12;110;0;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;106;106;0;0;0;0;0;0;0;;;;;;
ДВФО;Республика Бурятия;13;25;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;24;23;1;0;0;0;0;0;0;;;;;;
ДВФО;Республика Бурятия;14;241;0;30;0;0;0;3;8;9;10;0;0;0;0;0;0;0;209;207;1;0;0;1;0;1;0;;;;;;
ДВФО;Республика Бурятия;15;67,8;0;38,7;0;0;0;8,1;11,5;13,1;6;0;0;0;0;0;0;0;29,1;27,9;0,2;0;0;0;0;0;0;;;;;;
ДВФО;Республика Саха (Якутия);3;345;5;146;0;4;4;18;84;15;20;1;9;6;3;0;0;0;117;113;4;5;27;20;0;11;5;30;0;92;25;9;98
ДВФО;Республика Саха (Якутия);4;218;5;95;0;4;4;13;43;11;19;1;8;5;3;0;0;0;91;91;0;5;1;1;0;9;3;;;;;;
ДВФО;Республика Саха (Якутия);5;21;1;18;0;2;1;14;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;;;
ДВФО;Республика Саха (Якутия);6;82;0;68;0;2;1;1;62;0;2;0;1;0;1;0;0;0;11;11;0;2;0;0;0;0;0;;;;;;
ДВФО;Республика Саха (Якутия);7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;
ДВФО;Республика Саха (Якутия);8;5;1;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;;;;;;
ДВФО;Республика Саха (Якутия);9;39;0;30;0;2;1;3;24;0;0;0;0;0;0;0;0;0;6;6;0;0;1;0;0;2;0;;;;;;
ДВФО;Республика Саха (Якутия);10;11;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;6;6;0;0;0;0;0;2;1;;;;;;
ДВФО;Республика Саха (Якутия);11;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;3;4;0;0;0;0;0;0;;;;;;
ДВФО;Республика Саха (Якутия);12;24;0;11;0;0;0;0;4;0;7;0;0;0;0;0;0;0;13;13;0;0;0;0;0;0;0;;;;;;
ДВФО;Республика Саха (Якутия);13;7;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;4;0;0;0;0;0;2;0;;;;;;
ДВФО;Республика Саха (Якутия);14;131;4;48;0;0;4;8;16;6;14;0;6;5;1;0;0;0;59;59;0;4;1;1;0;7;1;;;;;;
ДВФО;Республика Саха (Якутия);15;161,3;0,5;48,3;0;2,5;0,3;5,8;28;6,9;3,8;1;0,5;0,2;0,3;0;0;0;104,6;104,6;0;0,2;0,2;0;0;6,5;0,5;;;;;;
ДВФО;Сахалинская область;3;126;3;94;0;2;0;3;9;14;66;0;10;5;1;0;0;0;16;14;2;0;0;0;0;3;0;3;3;9;9;2;1
ДВФО;Сахалинская область;4;120;3;92;0;2;0;3;9;14;64;0;10;5;1;0;0;0;13;13;0;0;0;0;0;2;0;;;;;;
