FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7
ДВФО;Сахалинская область;5;0;0;0;0;0;0;0
ДВФО;Сахалинская область;6;9;0;0;0;0;0;0
ДВФО;Сахалинская область;7;3;0;0;0;0;0;0
ДВФО;Сахалинская область;8;10;0;0;0;0;0;0
ДВФО;Сахалинская область;9;4;0;0;0;0;0;0
ДВФО;Сахалинская область;10;15;3;2;1;0;0;0
ДВФО;Сахалинская область;11;10;1;1;0;0;0;0
ДВФО;Сахалинская область;12;10;0;0;0;0;0;0
ДВФО;Сахалинская область;13;7;0;0;0;0;0;0
ДВФО;Сахалинская область;14;12;5;4;1;0;0;2
ДВФО;Сахалинская область;15;8;0;0;0;0;0;2
ДВФО;Сахалинская область;16;11;0;0;0;0;0;0
ДВФО;Сахалинская область;17;6;0;0;0;0;0;0
ДВФО;Сахалинская область;18;8;5;5;0;0;0;0
ДВФО;Сахалинская область;19;4;0;0;0;0;0;0
ДВФО;Сахалинская область;20;11;0;0;0;0;0;0
ДВФО;Сахалинская область;21;6;0;0;0;0;0;0
ДВФО;Сахалинская область;22;5;3;3;0;0;0;1
ДВФО;Сахалинская область;23;4;0;0;0;0;0;1
ДВФО;Хабаровский край;3;247;58;34;9;3;3;15
ДВФО;Хабаровский край;4;1;5;0;0;0;0;0
ДВФО;Хабаровский край;5;1;5;0;0;0;0;0
ДВФО;Хабаровский край;6;3;4;1;1;0;0;0
ДВФО;Хабаровский край;7;1;2;1;0;0;0;0
ДВФО;Хабаровский край;8;18;9;2;0;0;0;2
ДВФО;Хабаровский край;9;8;7;1;0;0;0;1
ДВФО;Хабаровский край;10;26;5;3;1;0;3;2
ДВФО;Хабаровский край;11;15;3;3;0;0;0;2
ДВФО;Хабаровский край;12;24;8;3;5;0;0;2
ДВФО;Хабаровский край;13;21;2;2;0;0;0;2
ДВФО;Хабаровский край;14;40;9;9;0;1;0;3
ДВФО;Хабаровский край;15;30;6;6;0;1;0;2
ДВФО;Хабаровский край;16;39;5;5;0;2;0;2
ДВФО;Хабаровский край;17;28;5;5;0;2;0;2
ДВФО;Хабаровский край;18;33;7;5;2;0;0;0
ДВФО;Хабаровский край;19;24;4;4;0;0;0;0
ДВФО;Хабаровский край;20;22;0;0;0;0;0;4
ДВФО;Хабаровский край;21;13;0;0;0;0;0;2
ДВФО;Хабаровский край;22;41;6;6;0;0;0;0
ДВФО;Хабаровский край;23;25;3;3;0;0;0;0
ДВФО;Чукотский автономный округ;3;1;1;1;0;0;0;0
