FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37
ДВФО;Магаданская область;13;14;5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;0;0;0;0;0;0;0;0;0
ДВФО;Магаданская область;14;184;113;7;26;0;0;0;0;0;0;0;0;0;25;20;0;0;0;0;0;5;0;28;0;0;0;0;0;0;0;0;16;16;0;0;0;1
ДВФО;Магаданская область;15;85;22;4;18;0;0;0;0;0;0;0;0;0;17;17;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;0;16;16;0;0;0;1
ДВФО;Магаданская область;16;99;91;3;8;0;0;0;0;0;0;0;0;0;8;3;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ДВФО;Приморский край;3;53539;29925;4377;11634;818;305;437;15;0;24;9;28;0;10447;1851;4756;1474;0;1790;11;565;0;3998;408;222;2;186;162;3372;937;2435;2300;324;1973;3;0;1900
ДВФО;Приморский край;4;13296;3702;211;1891;38;1;26;2;0;8;1;0;0;1655;0;0;522;0;1123;10;0;0;3237;322;0;0;124;123;1417;358;1059;1761;0;1761;0;0;1164
ДВФО;Приморский край;5;6590;742;0;5014;453;172;252;8;0;0;6;15;0;4561;1037;3005;138;0;0;0;381;0;723;73;31;0;53;39;22;0;22;0;0;0;0;0;5
ДВФО;Приморский край;6;578;115;0;283;104;58;46;0;0;0;0;0;0;118;33;55;0;0;27;1;2;0;0;0;171;0;9;0;0;0;0;0;0;0;0;0;0
ДВФО;Приморский край;7;33075;25366;4166;4446;223;74;113;5;0;16;2;13;0;4113;781;1696;814;0;640;0;182;0;38;13;20;2;0;0;1933;579;1354;539;324;212;3;0;731
ДВФО;Приморский край;8;22833;16787;2718;3237;155;44;85;5;0;13;0;8;0;2983;606;1198;529;0;532;0;118;0;38;13;19;2;0;0;1933;579;1354;473;324;146;3;0;344
ДВФО;Приморский край;9;10242;8579;1448;1209;68;30;28;0;0;3;2;5;0;1130;175;498;285;0;108;0;64;0;0;0;1;0;0;0;0;0;0;66;0;66;0;0;387
ДВФО;Приморский край;10;4949;3195;109;332;35;10;9;0;0;14;0;2;0;290;53;71;15;0;122;5;22;2;85;28;11;56;220;217;327;187;140;401;335;55;11;0;322
ДВФО;Приморский край;11;352;187;26;32;0;0;0;0;0;0;0;0;0;32;0;0;0;0;32;0;0;0;51;16;0;55;22;20;0;0;0;5;0;5;0;0;0
ДВФО;Приморский край;12;358;25;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;2;0;0;119;118;202;152;50;0;0;0;0;0;0
ДВФО;Приморский край;13;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0
