FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
ДВФО;Магаданская область;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Магаданская область;9;4;2;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;
ДВФО;Магаданская область;10;46;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;3;0;0;0;4;0;3;0;0;11;12;0;15;;
ДВФО;Магаданская область;11;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;6;;
ДВФО;Магаданская область;12;26;4;0;2;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;8;4;2;0;0;0;0;0;0;;
ДВФО;Магаданская область;13;15;1;1;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;3;0;1;0;0;0;0;0;0;;
ДВФО;Магаданская область;14;211;23;3;9;1;1;0;1;0;0;0;0;0;0;33;33;0;0;0;0;39;26;2;0;0;13;38;14;50;;
ДВФО;Магаданская область;15;166,8;13;5;7;0;5;0;1;0;0;3;1;0;0;0;0;0;0;0;0;60,5;38,5;11;0;2;14,3;10;16;46;;
ДВФО;Приморский край;3;2467;162;30;84;11;628;9;43;4;49;193;102;164;64;306;249;34;17;2;2;258;187;33;3;20;240;4;312;517;407;97
ДВФО;Приморский край;4;1736;157;28;82;10;610;9;43;4;49;193;101;147;64;268;239;9;17;2;2;237;182;18;3;16;105;0;178;145;;
ДВФО;Приморский край;5;50;1;0;1;0;49;1;8;4;35;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Приморский край;6;234;14;4;6;0;209;4;18;0;6;159;1;7;14;0;0;0;0;0;0;7;7;0;2;0;0;0;1;1;;
ДВФО;Приморский край;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Приморский край;8;43;4;1;3;0;39;0;10;2;25;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
ДВФО;Приморский край;9;131;10;3;4;0;118;4;17;2;10;81;0;3;1;0;0;0;0;0;0;2;2;0;0;0;0;0;0;1;;
ДВФО;Приморский край;10;364;1;0;0;0;8;0;0;0;0;0;0;8;0;26;6;16;0;0;0;14;3;10;0;3;49;4;71;188;;
ДВФО;Приморский край;11;111;0;0;0;0;4;0;0;0;0;0;0;4;0;1;0;1;0;0;0;5;0;5;0;0;10;0;2;89;;
ДВФО;Приморский край;12;280;36;6;15;5;0;0;0;0;0;0;0;0;0;151;100;10;0;0;0;93;79;6;0;0;0;0;0;0;;
ДВФО;Приморский край;13;87;6;1;1;1;0;0;0;0;0;0;0;0;0;47;32;5;0;0;0;34;27;3;0;0;0;0;0;0;;
ДВФО;Приморский край;14;1693;103;8;50;5;409;4;20;2;26;150;46;111;50;214;146;13;1;1;0;180;129;9;0;3;188;0;223;372;;
