FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
ПФО;Республика Татарстан;3;25;4;15;22;23;6;1;5;4;13;2;17;4;2;2;8;6;10;0;1;9;7;7;1;1
ПФО;Самарская область;3;40;3;8;39;35;15;2;2;9;24;3;37;1;1;1;8;17;10;4;1;16;11;7;3;3
ПФО;Саратовская область;3;3;0;1;3;3;0;0;0;3;0;0;3;0;0;0;1;1;1;0;0;1;1;1;0;0
ПФО;Удмуртская Республика;3;9;4;6;7;8;5;0;0;5;2;2;8;1;0;0;3;2;3;1;0;2;2;3;0;2
ПФО;Ульяновская область;3;12;2;5;10;11;6;1;2;1;7;1;12;0;0;0;1;5;3;2;1;3;5;4;0;0
ПФО;Чувашская Республика — Чувашия;3;6;1;3;5;6;2;1;0;0;4;1;5;0;0;1;1;2;3;0;0;1;3;2;0;0
СЗФО;Архангельская область;3;9;1;4;8;9;4;0;2;3;3;1;7;1;0;1;2;4;3;0;0;6;2;1;0;0
СЗФО;Вологодская область;3;16;1;7;14;13;9;0;2;2;6;6;13;1;0;2;1;9;3;1;2;4;4;4;2;2
СЗФО;Калининградская область;3;10;1;3;8;7;3;0;0;5;4;1;7;2;0;1;2;3;3;2;0;2;8;0;0;0
СЗФО;Ленинградская область;3;2;0;0;2;1;1;0;1;1;0;0;2;0;0;0;2;0;0;0;0;1;0;0;0;1
СЗФО;Мурманская область;3;4;0;1;4;4;1;0;0;2;2;0;3;0;1;0;0;3;1;0;0;3;1;0;0;0
СЗФО;Ненецкий автономный округ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
СЗФО;Новгородская область;3;3;0;1;3;3;0;0;1;1;1;0;3;0;0;0;0;3;0;0;0;1;1;1;0;0
СЗФО;Псковская область;3;4;0;2;4;4;0;0;1;0;3;0;4;0;0;0;0;2;1;0;1;1;3;0;0;0
СЗФО;Республика Карелия;3;7;0;3;6;7;0;0;3;1;3;0;5;0;0;2;0;6;1;0;0;1;5;1;0;0
СЗФО;Республика Коми;3;9;3;5;8;8;1;0;1;4;4;0;6;0;1;2;0;6;1;1;1;3;5;0;0;1
СЗФО;Санкт-Петербург;3;27;2;8;26;27;7;1;0;6;15;5;24;2;0;1;7;8;7;4;1;12;9;4;2;0
СКФО;Кабардино-Балкарская Республика;3;17;1;2;17;17;3;0;3;5;5;4;14;1;2;0;4;9;4;0;0;8;8;1;0;0
СКФО;Карачаево-Черкесская Республика;3;1;0;1;1;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0
СКФО;Республика Дагестан;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
СКФО;Республика Ингушетия;3;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0
СКФО;Республика Северная Осетия — Алания;3;1;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0
