FO_name;Subj_Name;Col_num;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
ДВФО;Чукотский автономный округ;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ДВФО;Чукотский автономный округ;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ДВФО;Чукотский автономный округ;8;0;528;36;0;319;0;173;0;833;466;0;0;0;0;;;;
ДВФО;Чукотский автономный округ;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ДВФО;Чукотский автономный округ;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ДВФО;Чукотский автономный округ;11;90;0;0;0;0;0;0;0;0;0;90;0;0;0;;;;
ДВФО;Чукотский автономный округ;12;1361;528;36;0;319;0;173;0;833;466;0;0;0;0;;;;
ПФО;Кировская область;3;28523;17954;6535;600;3019;0;8400;822;9655;4653;914;1,65;0;0;483;380;0;11
ПФО;Кировская область;4;1229;1164;34;0;32;0;1098;344;65;0;0;0;0;0;;;;
ПФО;Кировская область;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Кировская область;6;778;177;0;0;177;0;0;0;601;230;0;0;0;0;;;;
ПФО;Кировская область;7;114;114;0;0;114;0;0;0;0;0;0;0;0;0;;;;
ПФО;Кировская область;8;0;16942;5907;600;2834;0;8201;822;9655;4653;0;0;0;0;;;;
ПФО;Кировская область;9;8419;5024;1270;0;500;0;3254;383;3133;826;262;0;0;0;;;;
ПФО;Кировская область;10;19165;11991;4596;600;2448;0;4947;439;6522;3827;652;0;0;0;;;;
ПФО;Кировская область;11;838;838;568;0;71;0;199;0;0;0;0;0;0;0;;;;
ПФО;Кировская область;12;101;101;101;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Нижегородская область;3;68928;53027;35223;13909;10002;280;7522;1558;11379;6770;4522;8386,09;3103,93;0;929;47;0;18
ПФО;Нижегородская область;4;438;414;264;36;0;0;150;96;20;0;4;0;0;0;;;;
ПФО;Нижегородская область;5;3128;1062;0;0;0;0;1062;1062;2066;1168;0;0;0;0;;;;
ПФО;Нижегородская область;6;5376;3759;3120;2174;559;0;80;0;0;0;1617;0;0;0;;;;
ПФО;Нижегородская область;7;1671;0;0;0;0;0;0;0;0;0;1671;0;0;0;;;;
ПФО;Нижегородская область;8;0;26781;17927;4809;4307;280;4267;1474;9975;5602;0;0;0;0;;;;
ПФО;Нижегородская область;9;6117;6106;3021;2635;2289;0;796;0;0;0;11;0;0;0;;;;
ПФО;Нижегородская область;10;59952;44170;30309;11274;7153;280;6428;1554;11379;6770;4403;0;0;0;;;;
ПФО;Нижегородская область;11;2254;2146;1288;0;560;0;298;4;0;0;108;0;0;0;;;;
ПФО;Нижегородская область;12;605;605;605;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Оренбургская область;3;22093;12090;9001;100;1850;49;1190;317;784;674;9219;5,53;0;0;401;544;343;21
ПФО;Оренбургская область;4;316;316;316;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Оренбургская область;5;220;220;112;0;14;0;94;14;0;0;0;0;0;0;;;;
ПФО;Оренбургская область;6;154;154;79;0;50;25;0;0;0;0;0;0;0;0;;;;
ПФО;Оренбургская область;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Оренбургская область;8;0;3233;2456;0;402;0;375;188;350;240;0;0;0;0;;;;
ПФО;Оренбургская область;9;220;220;112;0;14;0;94;14;0;0;0;0;0;0;;;;
ПФО;Оренбургская область;10;14337;5729;4374;0;578;0;777;148;350;240;8258;0;0;0;;;;
ПФО;Оренбургская область;11;5719;5136;3510;100;1258;49;319;155;0;0;583;0;0;0;;;;
ПФО;Оренбургская область;12;1817;1005;1005;0;0;0;0;0;434;434;378;0;0;0;;;;
ПФО;Пензенская область;3;43504;35205;7272;327;15206;3398;9329;372;7187;4159;1112;9895,69;0;0;225;6;0;8
ПФО;Пензенская область;4;1638;1638;471;291;273;0;894;354;0;0;0;0;0;0;;;;
ПФО;Пензенская область;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Пензенская область;6;7045;0;0;0;0;0;0;0;7045;4159;0;0;0;0;;;;
ПФО;Пензенская область;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Пензенская область;8;0;28590;4972;327;11726;3398;8494;354;7187;4159;0;0;0;0;;;;
ПФО;Пензенская область;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;
ПФО;Пензенская область;10;26048;18785;1467;327;5545;3398;8375;354;7187;4159;76;0;0;0;;;;
ПФО;Пензенская область;11;8866;7830;4291;0;3258;0;281;18;0;0;1036;0;0;0;;;;
ПФО;Пензенская область;12;8590;8590;1514;0;6403;0;673;0;0;0;0;0;0;0;;;;
